ID, Type, Structure, Title, Mode, Incipit
2195, Air, , If Ever You Were Mine, , 
2078, JigD, AABB, Winnie Hayes's Jig, A Dorian, |edB AeA|BAG ABd|
2188, JigD, AABB, Young Tom Ennis, A Dorian, |cBA BcB|AGE GAB|
2602, JigD, AABB, Bush on the Hill, A Major, |A;2A; ECE|AEA cee|
1020, JigD, AABB, Kerry Jig, A Major, |cAc BAF|ECE FEC|
1765, JigD, AABBCC, Ship in Full Sail, A Major, |EAA cAA|eAA cee|
516, JigD, AABBCC, Diplodocus, A Mixolydian, |cAA edB|cAA ABc|
1089, JigD, AABBCCDD, Langstern Pony, A Mixolydian, |fed cAA|eAA cAA|
804, JigD, AABB, Hardiman's Fancy, B Minor, |BcB BAF|AFE EFE|
70, JigD, , An Sean Duine, D Major, |DEF AFE|DEF F2E|
250, JigD, AABB, An Seanduine Dóite, D Major, |D2B AFD|F2F F2E|
115, JigD, AABB, Bank of Turf, D Major, |A3 DFA|BAF DFA|
137, JigD, AABBCC, Behind the Haystack, D Major, |d2e fdB|d2e fdB|
160, JigD, AABB, Black Rogue, D Major, |cAA BGG|cAA A2d|
221, JigD, AABB, Brendan Tonra's, D Major, |F3 AFE|EDB; A;B;D|
249, JigD, AABB, Burke's, D Major, |dAF AGF|dAF AGF|
282, JigD, AABB, Carraroe Jig, D Major, |DED F2A|dfe d2A|
5395, JigD, AABB, Collins' Jig, D Major, |dBA B3|def a2a|
378, JigD, AABB, Connaughtman's Rambles, D Major, |FAA dAA|BAB dAG|
6662, JigD, AABB, Currants for Cakes and Raisins for Everything, D Major, |ded cde|dcd AFA|
523, JigD, AABBCCDDEE, Doctor O'Neill, D Major, |dcd AFD|E2F G2A|
860, JigD, AABB, East at Glendart, D Major, |BAF AFD|FEF DFA|
677, JigD, AABBCCDDEE, Frieze Breeches, D Major, |F2D EFG|A2d cAG|
2775, JigD, AABBCC, Frost Is All Over, D Major, |dfd edB|AFD EEF|
809, JigD, AABB, Haste to the Wedding, D Major, |AFA Agf|ede fdB|
2552, JigD, AABB, Hughie Travers', D Major, |AFE F2D|AFD EFE|
3436, JigD, AABB, I Buried My Wife and Danced on Top of Her, D Major, |DAD ~FEF|A2d cAF|
930, JigD, AABB, Jerry's Beaver Hat, D Major, |DFA d2e|fdB BAF|
4174, JigD, AABBCCDDEE, Kilfenora Jig, D Major, |A2D FED|A2D FED|
4175, JigD, AABB, Kilfenora Jig, D Major, |F2A ABA|ABA FED|
681, JigD, AABB, Kitty Lie Over, D Major, |AFD DFA|ded B2A|
1091, JigD, AABBCCDD, Lark in the Morning, D Major, |AFA AFA|BGB BdB|
1114, JigD, AABB, Leg of the Duck, D Major, |fdd ede|fef dBA|
491, JigD, AABB, Luachrachán, D Major, |BAF AFE|DFD EDB;|
1698, JigD, AABB, Maguire's Kick, D Major, |F2E EDE|F2D DED|
3556, JigD, AABB, Mick Quinn's, D Major, |DFA dcd|ecA gfg|
1373, JigD, AABB, Munster Buttermilk, D Major, |d2f edB|BAF FEF|
1386, JigD, AABB, My Darling Asleep, D Major, |fdd cAA|BGG A/B/AG|
2138, JigD, AABB, Old Joe's, D Major, |f2A AFA|BGB A2A|
1623, JigD, AABBCC, Queen of the Fair, D Major, |FEF DFA;|DFA dAF|
1644, JigD, AABB, Rambling Pitchfork, D Major, |F2A AF/F/F|dFF AFD|
3966, JigD, AABBCC, Repeal of the Union, D Major, |GAG GBd|edB dga|
2417, JigD, AABB, Rolling Wave, D Major, |FEF ~D2D|D2d cAG|
1704, JigD, AABB, Rose in the Heather, D Major, |D2F EDB;|DFA BAF|
961, JigD, AABB, Seamus Cooley's Jig, D Major, |fef ddB|AFA ABd|
1745, JigD, AABB, Sean McGlynn's, D Major, |AFD ECA;|DFA ddA|
4261, JigD, AABBCC, Sport, D Major, |AdF A2A|GBE GFG|
1845, JigD, AABBCC, Strike the Gay Harp, D Major, |d2B cAA|dAF FED|
346, JigD, AABB, Tar Road to Sligo, D Major, |fdB Bcd|ecA BAG|
1880, JigD, AABB, Tatter Jack Walsh, D Major, |fef ded|cAB cde|
1917, JigD, AABB, Tobin's Favorite, D Major, |DFA dcd|ecA efg|
1922, JigD, AABB, Tom Connor's Jig, D Major, |ABA A2D|FAd f3|
1976, JigD, AABB, Tripping Up the Stairs, D Major, |FAA GBB|FAd fed|
1815, JigD, AABBCC, Wallop the Spot, D Major, |~F3 DAF|BAF AFE|
2035, JigD, AABBCC, Wandering Minstrel, D Major, |ADA BAF|Ade fdB|
2057, JigD, AABB, Whelan's Sow, D Major, |FAF EGE|DFA dAG|
2059, JigD, AABB, When Sick Is It Tea You Want?, D Major, |Add dcB|AFB AFG|
113, JigD, AABBCC, Banish Misfortune, D Mixolydian, |fed cAG|~A2d cAG|
175, JigD, AABBCC, Blarney Pilgrim, D Mixolydian, |DED DEG|A2G ABc|
788, JigD, AABB, Cailleach an Airgid, D Mixolydian, |Add A3|AGE G3|
670, JigD, AABB, Fraher's, D Mixolydian, |A2F GED|DDD FED|
697, JigD, AABB, Gander in the Pratie Hole, D Mixolydian, |F/G/AD F/G/AD|GFG EF/G/_A/|
702, JigD, AABB, Garrett Barry's, D Mixolydian, |DEF ~G3|AGA Bce|
2194, JigD, AABB, Girl from the Big House, D Mixolydian, |FAD DAG|AGA GEA|
1472, JigD, AABB, Hag's Purse, D Mixolydian, |A2D FED|A2B cAF|
853, JigD, AABBCCDD, Humours of Ballyloughlin, D Mixolydian, |AA2 AGE|GED ~D3|
2349, JigD, AABB, Paddy Fahy's, D Mixolydian, |DFA dfe|d^cA ~G3|
1586, JigD, AABB, Pipe on the Hob, D Mixolydian, |dcd A2G|F2D DED|
2353, JigD, AABB, Sergeant Early's, D Mixolydian, |FED ~D3|GFG c2e|
960, JigD, AABB, Statia Donnelly's, D Mixolydian, |FGA cAA|BGG cAG|
1419, JigD, AABB, Trip to Athlone, D Mixolydian, |ABA D2A|dcA AGE|
2031, JigD, AABB, Walls of Liscarroll, D Mixolydian, |dcA AGE|GED D2E|
7130, JigD, AABBCC, Woods of Caolrua, D Mixolydian, |ABG ADD|~c3 dcA|
83, JigD, AABB, Apples in Winter, E Dorian, |BEE dEE|BAG FGE|
688, JigD, AABB, Gallagher's Frolics, E Dorian, |~E3 GFE|BAB dBA|
679, JigD, AABB, Goat in the Green, E Dorian, |E3 GEE|BEE GEE|
1025, JigD, AABB, Killavil Jig, E Dorian, |BEE BEE|def edB|
1118, JigD, AABB, Leitrim Fancy, E Dorian, |GBG FAF|EDB BAB|
1334, JigD, AABBCCDD, Monaghan Jig, E Dorian, |BEE EDE|BEE FGA|
1343, JigD, AABB, Morrison's Jig, E Dorian, |~E3 ~B3|EBE AFD|
2870, JigD, AABB, Pull the Knife and Stick It Again, E Dorian, |~E3 GFE|DBE DBD|
2534, JigD, AABB, Sheep in the Boat, E Dorian, |B;EF GFE|FEF def|
1699, JigD, AABB, Whelan's Jig, E Dorian, |E3 BAF|FEB AFD|
269, JigD, AABB, Calliope House, E Major, |eBB gBB|fBB gBB|
5807, JigD, AABB, Bold Doherty, E Minor, |EFG ABc|B2E GAB|
7131, JigD, AABB, Karen's Delight, E Minor, |ege edB|ABA ~E2G|
54, JigD, AABB, Alasdruim's March, G Major, |BG2 AGF|Gzg fdc|
3872, JigD, AABB, Anthony Frawley's, G Major, |GED G2A|GED G2A|
129, JigD, AABBCC, Battering Ram, G Major, |dBG A2G|dBG G2B|
2129, JigD, AABB, Boys of the Town, G Major, |ged B2A|BGE GAc|
225, JigD, AABBCC, Bride's Favourite, G Major, |G3 BAB|GBd gdB|
2201, JigD, AABB, Butlers of Glen Avenue, G Major, |DEG EDB|DEG ~B3|
2352, JigD, AABB, Coach Road to Sligo, G Major, |~g3 age|dBG AGE|
387, JigD, AABBCC, Cook in the Kitchen, G Major, |DGG GAG|[=F^F]DE ~=F3|
4972, JigD, AABB, Dawn Chorus, G Major, |B3 BAB|dBB BAG|
567, JigD, AABB, Eavesdropper, G Major, |DBB BAG|Bdd dBG|
7247, JigD, AABB, First Night in America, G Major, |GFG AFD|GFG Bcd|
742, JigD, AABBCCDDEEFFGG, Gold Ring, G Major, |BAG A<Ad|cAG ~G3|
2463, JigD, AABB, Haunted House, G Major, |GG2 AGA|BGE EDE|
4586, JigD, AABBCCDDEE, Helvic Head, G Major, |~G3 AGE|~A3 AGE|
2653, JigD, AABB, High Part of the Road, G Major, |B2B ~c3|~d3 cAG|
2798, JigD, AABB, Hinchy's Delight, G Major, |BAB GAG|ADE F2G|
858, JigD, AABBCC, Humours of Ennistymon, G Major, |BAB GBd|~c3 A2c|
1905, JigD, AABB, Humours of Lisheen, G Major, |efg edB|cBA BGE|
5951, JigD, AABB, I Was Born for Sport, G Major, |dgg fdd|cAB cBc|
897, JigD, AABB, Irish Washerwoman, G Major, |BGG DGG|BGB dcB|
908, JigD, AABB, Jackson's Bottle of Brandy, G Major, |GGB dBG|BGB dBG|
955, JigD, AABB, Jimmy Ward's, G Major, |~G3 GAB|AGE GED|
1004, JigD, AABB, Joy of My Life, G Major, |G3 AGA|Gee dBA|
1022, JigD, AABB, Kesh Jig, G Major, |G3 GAB|AAA ABd|
1092, JigD, AABB, Lark on the Strand, G Major, |~A3 AGA|AGE ~G3|
36, JigD, AABB, Lilting Fisherman, G Major, |dBG GBd|gfg efg|
1167, JigD, AABBCC, Luckpenny, G Major, |BGG AGE|DGG FGA|
170, JigD, AABB, Maid at the Well, G Major, |GDD EDE|GAB c2e|
1189, JigD, AABB, Maid on the Green, G Major, |~g3 e2d|Bde dBA|
3275, JigD, AABB, Maura McGlynn's, G Major, |d2c BAG|(3EFGE CEG|
801, JigD, AABB, Munster Jig, G Major, |~G3 AGA|Bde gdB|
4256, JigD, AABB, North Clare, G Major, |~B3 BAG|F2d d^cd|
1486, JigD, AABB, O'Sullivan's March, G Major, |GBA ABd|edB A2B|
1489, JigD, AABB, Out on the Ocean, G Major, |B2B BAG|BdB A2B|
1714, JigD, AABB, Saddle the Pony, G Major, |GBA G2B|def gdB|
322, JigD, AABB, Sean Coughlan's #2, G Major, |G2A BBG|ABB d2e|
2944, JigD, AABB, Sporting Pitchfork, G Major, |EFF ~E3|EFF DEF|
1884, JigD, AABBCC, Tell Her I Am, G Major, |edB G2G|DED G2G|
2090, JigD, AABB, Tiocfaidh Tú Abhaile Liom, G Major, |dge fdc|B2d cAF|
1950, JigD, AABB, Tongs by the Fire, G Major, |GBd cAF|GGe dBG|
882, JigD, AABB, When the Cock Crows It Is Day, G Major, |GAB BAG|d3 d2B|
2075, JigD, AABB, Willie Coleman's, G Major, |B3 AGE|GED GBd|
668, JigSl, ABA'C, Foxhunter's Jig, D Major, |F3 F2D G2E|F2F F2D E3|
1659, JigSl, AB, Whinny Hills of Leitrim, D Major, |FAB FAB AFD|FAB FAB dzA|
803, JigSl, AB, Hardiman the Fiddler, D Mixolydian, |A2G FDE F2G|ABA AGA cAG|
3497, JigSl, AB, A Fig for a Kiss, E Dorian, |G2B E2B BAG|F2A D2A AGF|
254, JigSl, ABC, Butterfly, E Dorian, |B2E GGE F3|B2E GGE FED|
1023, JigSl, ABCDE, Kid on the Mountain, E Minor, |~E3 ~F3 G2F|~E3 BcA BGD|
1136, JigSl, AB, Little Fair Cannavans, G Major, |BGG AGE GDD|EGD DEG ~A3|
4268, JigSl, AB, Moll Roe, G Major, |DGG GAG FGA|BAB GAB ~c3|
1851, JigSl, , Swaggering Jig, G Major, |BGG AGE DEG|BGG GFG A2c|
223, March, AABBCC, Brian Boru's March, A Dorian, |cAA Aed|cAA Adc|
1202, March, , Mairi's Wedding, D Mixolydian, |D>E DE|GA B2|
107, Polka, AABB, Ballydesmond Polka, A Dorian, |Bc Bc/B/|AB/A/ G>A|
106, Polka, AABB, Ballydesmond Polka #2, A Dorian, |EA AB|cd e2|
441, Polka, AABB, Cutting Bracken, A Dorian, |A2 a2|ge ga/g/|
736, Polka, AABB, Glen Cottage, A Dorian, |eA Bd |e/f/e/d/ Bd|
2975, Polka, AABB, I'll Buy Boots for Maggie, A Dorian, |A>B cd|eg ga|
2630, Polka, AABB, Top of Maol, A Dorian, |A>A AB/d/|ed Bd/B/|
932, Polka, , Jessica's Polka, A Major, |ef/e/ ce|fe Bc|
152, Polka, AABB, Mickey Chewing Bubblegum, A Major, |a>f af|ec a>e|
1447, Polka, AABB, Oh! The Britches Full of Stitches, A Major, |A>B cA|BA cA|
3875, Polka, AABB, Rattlin' Bog, A Major, |c2 c>B|AF F2|
1860, Polka, AABB, Sweeney's Polka, A Major, |ef/e/ ce|Ae ce|
1952, Polka, AABB, Toormore #1, A Mixolydian, |e2 dB|BA B/c/d|
6369, Polka, AABB, Cappamore Polka, B Minor, |af fg|af f>g|
6001, Polka, AABB, P&O Polka [The P and O Polka], B Minor, |FB Bc|d2 cB|
3969, Polka, AABB, Ballygow Polka, D Major, |DF/A/ df|ed Bd|
487, Polka, AABB, Denis Murphy's Polka, D Major, |f/g/f/e/ d>B|AD FA|
983, Polka, AABB, John Ryan's Polka, D Major, |dd B/c/d/B/|AF AF|
1081, Polka, AABB, Lakes of Sligo, D Major, |FA AB/c/|d>c dc|
1135, Polka, AABB, Little Diamond, D Major, |A2 AF|DF AB|
1187, Polka, AABB, Maid of Ardagh, D Major, |F2 BA|de f2|
4313, Polka, AABB, New Roundabout, D Major, |DE FG|A2 AF|
1567, Polka, AABB, Peg Ryan's, D Major, |fA BA|fA BA|
974, Polka, AABB, Scartaglen Polka, D Major, |AB/A/ F/A/F/A/|BG B2|
105, Polka, AABB, Ballydesmond Polka, D Mixolydian, |A>B AG|EF GE|
6114, Polka, AABB, Green Cottage No. 1, E Dorian, |GE ED|B;E E>G|
2451, Polka, AABB, Church Street Polka, G Major, |BG D>G|Ec cA/B/|
2448, Polka, AABBCC, Humours of Ballydesmond, G Major, |~G2 GA|Bd [d2f2]|
947, Polka, AABB, Jimmy Doyle's Polka, G Major, |Bd de|dB B/B/B|
1062, Polka, AABBCC, Knocknaboul Polka, G Major, |GB B/c/B/A/|GB BA|
2146, Polka, AABB, Maggie in the Wood, G Major, |GD G>A|Be e2|
6583, Polka, AABB, Maurice O'Keeffes, G Major, |dB GB|d2-de|
1639, Polka, AABB, Rakes of Mallow, G Major, |GB GB|GB c/B/A/G/|
2410, Polka, AABC, Siege of Ennis, G Major, |D>E DB;|DE GA|
1820, Polka, AABB, St. Mary's, G Major, |GB AB/A/|Gg e/f/g|
6142, Polka, AABB, Upperchurch, G Major, |GD GA|B2-B>A|
6141, Polka, AABB, [untitled], G Major, |B2 B2|AG GA/G/|
43, Reel, AB, Abbey Reel, A Dorian, |A2AA A2GE|A/B/AGA BddB|
287, Reel, AABB, Castle Kelly, A Dorian, |~A2cA ~A2cA|GE~E2 ~G2EG|
310, Reel, AABB, Chicago Reel, A Dorian, |cded cAGE|~G2GE G2(3Bcd|
376, Reel, AABB, Congress Reel, A Dorian, |eAAG ABcd|eaaf gedg|
396, Reel, AABB, Corner House, A Dorian, |EAAG A2(3Bcd|ezdB cBAG|
540, Reel, AABB, Down the Broom, A Dorian, |E2~A2 A2Bd|eg~g2 egdD|
573, Reel, AB, Eel in the Sink, A Dorian, |e2AB cdeA|dGAG dG(3Bcd|
3266, Reel, AB, Gatehouse Maid, A Dorian, |A2Bd edBA|~G3A GEDG|
761, Reel, ABCDD, Gravel Walks, A Dorian, |A2eA BAeA|~A2eA BAGB|
5616, Reel, AABB, Hanly's Tweed, A Dorian, |A2eA fAeA|BdAB ~G3B|
900, Reel, AB, Ivy Leaf, A Dorian, |A2eA (3cBAeA|A2eA (3cBAGB|
1064, Reel, AABB, Knotted Cord, A Dorian, |A3B AGEA|AB^cd egdB|
1197, Reel, AABCC, Maid of Mount Kisco, A Dorian, |E2AA BA~A2|EA~A2 BGAG|
1456, Reel, AABB, Old Copperplate, A Dorian, |A2EA cA~A2|aged cAFA|
2878, Reel, AABB, Old Torn Petticoat, A Dorian, |c2BG AGEF|G2BG dGBG|
1480, Reel, AABB, Ormond Sound, A Dorian, |A2ed BedB|A~G3 AGEG|
1513, Reel, AABB, Paddy Lynn's Delight, A Dorian, |eAAB cBAG|EG~G2 AGEG|
1732, Reel, AB, Scotch Mary, A Dorian, |cE~E2 cded|cE~E2 GGAB|
1782, Reel, AABB, Sligo Maid, A Dorian, |A2{^c}BA Bc/d/ef|gedB AGEF|
1814, Reel, AB, Sporting Paddy, A Dorian, |EAAB GABG|EAAB G2ED|
1830, Reel, AABB, Star of Munster, A Dorian, |c2Ac B2GB|AE~E2 GEDG|
1855, Reel, AABB, Swallow's Tail, A Dorian, |eABA eABA|(3B^cdef gAdB|
208, Reel, ABC, Boys of Malin, A Major, |ABcd eAce|fedf edcB|
474, Reel, AABB, Dawn, A Major, |A;2CE D2FD|EDCE ABcA|
1230, Reel, AABB, Mason's Apron, A Major, |aA(3AAA ABAF|EFAB dcBA|
466, Reel, AB, Dark-Haired Lass, A Mixolydian, |=cAAB cdeg|d2gd BG~G2|
833, Reel, AABB, High Reel, A Mixolydian, |a2fA cAA2|{c}BAeA cAeA|
1335, Reel, AB, Monaghan Twig, A Mixolydian, |cAAG cded|cAAG E2ed|
1409, Reel, AABB, New-Mown Meadows, A Mixolydian, |eAAA BABd|dfed BddB|
2052, Reel, AB, O'Rourke's, A Mixolydian, |c/B/AeA fAeA|c/B/Aec dfed|
1750, Reel, ABC, Seán sa Cheo, A Mixolydian, |e2df eABd|e2ef dG^c^G|
926, Reel, ABC, Jenny's Chickens, B Dorian, |f2fe fece|fef2 eAce|
1384, Reel, ABC, Musical Priest, B Dorian, |FBBA BcdB|cBAc ecBA|
1224, Reel, AABB, Martin Wynne's, B Minor, |F2AF E2FE|DB;~B;2  DB;A;D|
1487, Reel, AABB, Otter's Holt, B Minor, |fBBA FEFB|BA[FA]B ABde|
234, Reel, AABB, Broken Pledge, D Dorian, |dcAG ADDd|cBGF ECCC|
3923, Reel, AABB, Sergeant Early's Dream, D Dorian, |A2DE FGcA|GECD EFGE|
72, Reel, AB, Anderson's Reel, D Major, |ABdf eBdB|AFdF ~E3F|
1410, Reel, AABB, Bells of Tipperary, D Major, |DA;~A;2 DEFA|d2fe dBBA|
153, Reel, AB, Billy Brocker's, D Major, |AF~F2 [F2A2]dB|AF~F2 ~G3B|
2862, Reel, AABB, Boogie Reel, D Major, |DEFA d2cd|BAFB AFEF|
200, Reel, AB, Boyne Hunt, D Major, |A2FA DAFA|DAFA BEeB|
241, Reel, ABCDE, Bucks of Oranmore, D Major, |~A2FA A2dB|~A2FA BEE2|
270, Reel, AABB, Cameronian Reel, D Major, |A/B/AFA DFAF|GFEF GBdB|
420, Reel, AABB, Crosses of Annagh, D Major, |DFAB =cBAB|ddfd ec(3Bcd|
445, Reel, AB, Dairy Maid, D Major, |AF~F2 DFBF|AFDE FEEE|
499, Reel, AABB, Devaney's Goat, D Major, |DFAB AFAB|d2fe dBAF|
505, Reel, AABB, Dick Gossip's, D Major, |gB~B2 gBaB|gB~B2 gfed|
537, Reel, AABB, Dowd's No. 9, D Major, |DF[FA]F GF~E2|DEFA dABG|
566, Reel, AABB, Earl's Chair, D Major, |B3B BAFA|B2dB BAFB|
3220, Reel, AABB, Father O'Grady's Visit to Bocca, D Major, |Adde fded|ABAG EAde|
641, Reel, AABB, Flax in Bloom, D Major, |D2F/E/D FAAf|gefd edBd|
674, Reel, AABB, Fred Finn's, D Major, |A3F A2de|fdec d2cd|
690, Reel, AB, Galtee Rangers, D Major, |AFFE F2DE|F2FE FAdB|
2336, Reel, AABB, Green Mountain, D Major, |AF~F2 AFEF|DF~F2 ~A3d|
3988, Reel, AABB, Highest Hill in Sligo, D Major, |FdAF GzEG|~FEFE CDEG|
852, Reel, ABC, Humours of Ballyconnell, D Major, |d2fe dBA=c|BFAF E2FA|
869, Reel, AB, Humours of Tulla, D Major, |d2Ad BdAd|d2fd edBd|
905, Reel, AABB, Jackie Coleman's, D Major, |AF~F2 EDB;D|F2AF BFAF|
927, Reel, AABB, Jenny's Wedding, D Major, |D2DD ADFA|AAde fded|
1071, Reel, AABB, Lady Anne Montgomery, D Major, |FADA FADA|FAdA BAdA|
1077, Reel, AB, Lady on the Island, D Major, |BAFB AFEF|D2FA BAdB|
1104, Reel, AB, Last Night's Fun, D Major, |ADFD A2dB|ADdD EFGB|
2806, Reel, AB, Lilies in the Field, D Major, |Ad~d2 A2AB|cBcd ecdc|
1151, Reel, AABBCCDDEE, Lord Gordon's, D Major, |AD{F}ED AD{F}ED|AD{F}ED FAdc|
3116, Reel, AABB, Love at the Endings, D Major, |DEFA BddB|AF~F2 AFEF|
1168, Reel, ABCD, Lucy Campbell, D Major, |AD{F}ED D2dB|ADFA BE~E2|
1184, Reel, AABB, Maid behind the Bar, D Major, |FAAG FDD2|FAAF A2de|
2107, Reel, AABB, Martin Wynne's, D Major, |AF~F2 GE~E2|FADF EB;B;2|
1233, Reel, AABB, Master McDermott's, D Major, |DF~F2 DFAB|dffe dBBd|
1272, Reel, AABB, Merry Blacksmith, D Major, |d3A BAFA|~A2FA BAFA|
3440, Reel, AABB, Michael Creamer's, D Major, |A2dB AFDz|AFAB ~f3z|
1311, Reel, AABB, Miss Monaghan, D Major, |D2ED FAAF|G2BG FGAc|
